reference_term,status,nearest_envo_label_1,nearest_envo_label_2,nearest_envo_label_3
radiation physics,missing_in_envo,radiation,irradiation,biodegradation of plastic
radiation protection,missing_in_envo,gravitational motion,radiation shielding disposition,radiation
radiation protection law,missing_in_envo,gravitational motion,radiation shielding disposition,inundation disposition
radiation sickness,missing_in_envo,radiation,desalination process,vibration process
radiation thermocouple actinometer,missing_in_envo,marine thermocline,thermoplastic material,glaciation of water droplets in a cloud
radio and plasma wave investigation,missing_in_envo,radio wave radiation,radio wave stellar radiation,ocean time series station
radio burst,missing_in_envo,downburst,microburst,macroburst
radio bursts,missing_in_envo,downburst,microburst,macroburst
radio continuum emission,missing_in_envo,carbon dioxide emission,platinum mine,ocean time series station
radio emission,missing_in_envo,carbon dioxide emission,radio wave radiation,adhesion
radio frequency,missing_in_envo,radio device,adfreezing,radiant energy
radio wave,missing_in_envo,radio device,vadose cave,radio wave radiation
radio wave flux,missing_in_envo,radio wave radiation,radio device,radioactive material
rayleigh wave,missing_in_envo,brackish water,fresh water,spring water
reconnection,missing_in_envo,ecoregion,construction,reforestation
reflected infrared,missing_in_envo,protected area,forested area,elevated landform
rhessi hard xray flare catalog,missing_in_envo,,,
rm young model 05103 wind monitor,missing_in_envo,,,
rossby planetary waves,missing_in_envo,protoplanetary disk,planetary mantle,solid planetary core
rossby wave,missing_in_envo,frost heave,karst cave,erosional cave
s wave,missing_in_envo,swale,sea cave,sewage
scanning microwave imager sounder,missing_in_envo,microwave radiation,mangrove biome soil,microwave stellar radiation
scanning microwave spectrometer,missing_in_envo,calving of ice from an iceberg,saline lake sediment,marine cold water sphere
scanning multichannel microwave radiometer,missing_in_envo,oceanic sea surface microlayer biome,neritic sea surface microlayer biome,self heating coal mine waste material
science atmospheric radiation measurement program u s department of energy,missing_in_envo,,,
sea wave,missing_in_envo,sea cave,sea water,sewage
sea winds scatterometer,missing_in_envo,sea water environment,sea water,wind storm
secondary cosmic rays,missing_in_envo,secondary cold front,secondary atmosphere,second year ice
seismic body wave,missing_in_envo,solid astronomical body part,seismic vibration process,astronomical body part
seismic body waves,missing_in_envo,seismic vibration process,solid astronomical body part,astronomical body part
seismic surface wave,missing_in_envo,sea surface layer,ice surface layer,seam surface
seismic surface waves,missing_in_envo,sea surface layer,ice surface layer,soil surface layer
seismic wave,missing_in_envo,sea cave,ice cave,stream water
sentinel 3 microwave radiometer,missing_in_envo,microwave radiation,obsolete mangrove biome,obsolete microbial rennet
shallow water wave,missing_in_envo,snow water equivalent,freshwater lake,saline water
shock,missing_in_envo,stock,mainshock,foreshock
shock wave,missing_in_envo,hypoxic water,oxic water,toxic waste
shocks,missing_in_envo,stock,mainshock,foreshock
short wave,missing_in_envo,shore,shortwave radiation,stormwater
short wave fade,missing_in_envo,shortwave radiation,shore lead,net shortwave radiation
short wavelength infrared radiometer,missing_in_envo,far infrared radiation,shortwave radiation,near infrared radiation
significant wave height,missing_in_envo,stagnant water,sea surface height,mechanical wave energy
smoke clouds and radiation brazil,missing_in_envo,ultrasound radiation,stellar radiation energy,stellar radiation
soho eit wave transient catalog,missing_in_envo,shortwave radiation,net shortwave radiation,oceanic transient tracer
soho pm interplanetary shock catalog,missing_in_envo,outer planetary core,inner planetary core,planetary photic zone
solar active regions,missing_in_envo,administrative region,first order administrative region,second order administrative region
solar activity,missing_in_envo,sports facility,research facility,prison facility
solar atmosphere,missing_in_envo,secondary atmosphere,stratosphere,planetary atmosphere
solar coronal mass ejections,missing_in_envo,solar power station,subpolar coniferous forest biome,stellar radiation
solar dynamics observatory,missing_in_envo,omics observatory system,astronomical observatory system,marine observatory system
solar dynamics observatory project goddard space flight center nasa,missing_in_envo,,,
solar energetic particle,missing_in_envo,mesoplastic particle,nanoplastic particle,microplastic particle
solar energetic particle event,missing_in_envo,mesoplastic particle,nanoplastic particle,microplastic particle
solar energetic particle flux,missing_in_envo,mesoplastic particle,nanoplastic particle,microplastic particle
solar energetic particle properties,missing_in_envo,mesoplastic particle,nanoplastic particle,microplastic particle
solar energetic particles,missing_in_envo,mesoplastic particle,nanoplastic particle,microplastic particle
solar energy production use,missing_in_envo,oil field production water,obsolete beverage product,lumber production process
solar flare,missing_in_envo,solar panel array,shear fracture,solid layer
solar flares,missing_in_envo,solar panel array,shear fracture,solid layer
solar flux,missing_in_envo,obsolete flour,colorant fluid,polar front
solar heating,missing_in_envo,solar rainbow,solar power station,conflagration
solar imagery,missing_in_envo,subpolar biome,solar panel array,polar biome
solar irradiance,missing_in_envo,solar rainbow,stellar radiation,soil drainage
solar maximum,missing_in_envo,solar rainbow,polar mountain,solfatara
solar minimum,missing_in_envo,solar rainbow,polar mountain,coal mining
solar oscillations,missing_in_envo,solar power station,glaciation,stellar radiation
solar prominences solar filaments,missing_in_envo,sarcosine enriched soil,coal mine lake sediment,solar panel array
solar radiation 1,missing_in_envo,stellar radiation,stellar radiation energy,soil degradation
solar radiation 10,missing_in_envo,stellar radiation,stellar radiation energy,soil degradation
solar radiation 7a,missing_in_envo,stellar radiation,stellar radiation energy,soil degradation
solar radiation 7b,missing_in_envo,stellar radiation,stellar radiation energy,soil degradation
solar radiation 8,missing_in_envo,stellar radiation,stellar radiation energy,soil degradation
solar radiation 9,missing_in_envo,stellar radiation,stellar radiation energy,soil degradation
solar radiation and climate experiment,missing_in_envo,stellar radiation energy,acidification of an aquatic environment,radioactive sediment
solar radiation management,missing_in_envo,stellar radiation energy,stellar radiation,shortwave radiation
solar radiation storms,missing_in_envo,stellar radiation,stellar radiation energy,shortwave radiation
solar radiation storms noaa space weather scales,missing_in_envo,concentration of yttrium in water ice,concentration of niobium in water ice,concentration of bromine in water ice
solar radio wave emissions,missing_in_envo,carbon dioxide emission,radio wave radiation,stellar radiation
solar rotation,missing_in_envo,solar power station,polar mountain,stellar radiation
solar spectral flux radiometers,missing_in_envo,visible spectrum radiation,polar desert biome,planetary structural layer
solar surface,missing_in_envo,isobaric surface,seam surface,lake surface
solar synoptic maps,missing_in_envo,volcanic ash,sea ice mass,land ice mass
solar system,missing_in_envo,cave system,climate system,woodland ecosystem
solar ultraviolet emissions,missing_in_envo,ultraviolet radiation,ultraviolet stellar radiation,carbon dioxide emission
solar ultraviolet measurements of emitted radiation,missing_in_envo,,,
solar uv flux,missing_in_envo,lava flow,lava field,obsolete flour
solar variability linkages to atmospheric processes,missing_in_envo,area of high atmospheric pressure,,
solar velocity fields,missing_in_envo,gravel field,sea ice field,lava field
solar wind anisotropies,missing_in_envo,arid subtropical,woodland canopy,polar tree line ecotone
solar wind electron proton and alpha monitor,missing_in_envo,,,
solar wind experiment wind,missing_in_envo,sandy sediment,polar desert biome,agricultural experimental station
solar wind extreme,missing_in_envo,marine streamer,stellar wind,soil texture
solar wind ion composition spectrometer,missing_in_envo,land consumption process,soil compaction process,island formation process
solar wind ion composition spectrometer ulysses,missing_in_envo,snow and ice accumulation process,,
solar wind ion mass spectrometer,missing_in_envo,illegal informal settlement,stony iron meteorite,solid environmental material
solar wind plasma experiment ulysses,missing_in_envo,,,
solar wind shock,missing_in_envo,stellar wind,mainshock,solar rainbow
solar winds,missing_in_envo,stellar wind,glacier wind,solar rainbow
solar x ray cosmic gamma ray burst experiment,missing_in_envo,,,
solar x ray emissions,missing_in_envo,carbon dioxide emission,solar rainbow,stellar radiation
space interplanetary,missing_in_envo,inner planetary core,outer planetary core,ice planet
space radiation environment monitor,missing_in_envo,food production environmental monitoring zone,environmental monitoring,face skin environment
space transport system sts 11,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 2,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 34,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 39,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 41,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 41g,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 43,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 45,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 51b,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 51f,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 55,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 56,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 59,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 62,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 64,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 66,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 68,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 7,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 72,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 9,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transport system sts 99,missing_in_envo,constructed transport system,public transit system,rapid transit system
space transportation,missing_in_envo,transportation,space station,transpiration
space weather event,missing_in_envo,space weather,sea water environment,saline water environment
special sensor microwave imager,missing_in_envo,site of special scientific interest,erosionally enriched ice,sea surface layer
special sensor microwave imager sounder,missing_in_envo,oceanic sea surface microlayer biome,neritic sea surface microlayer biome,
special sensor microwave temperature,missing_in_envo,site of special scientific interest,perennial snow patch,obsolete animal derived beverage
special sensor microwave temperature profiler,missing_in_envo,amplitude of temperature of air,secondary microplastic particle,
standing wave,missing_in_envo,stagnant water,estuarine water,strand swamp
stellar dynamics,missing_in_envo,stellar wind,stellar radiation,beaver dam
stereo hi solar wind catalog,missing_in_envo,stellar wind,obsolete high osmolarity habitat,water holding capacity
stereo waves,missing_in_envo,sterile water,waste water,sea cave
storm relative winds,missing_in_envo,straight line wind,stellar wind,treated wood
sub atomic particle flux,missing_in_envo,diatomite particle,mesoplastic particle,nanoplastic particle
sub auroral region,missing_in_envo,subtropical biome,terrestrial ecoregion,sugar refinery
sulfates clouds and radiation america,missing_in_envo,ultrasound radiation,stellar radiation energy,particle beam radiation
sun earth interactions,missing_in_envo,second year ice formation,sugar plantation,research station
sun spots,missing_in_envo,ground transport,snow mass,plant pot
sunspot,missing_in_envo,landspout,spit,soot
sunspot activity,missing_in_envo,sports facility,winter sports facility,prison facility
sunspot cycle,missing_in_envo,motorcycle,snow crystal,slush ice
sunspots,missing_in_envo,landspout,subpolar,spit
super dual auroral network,missing_in_envo,pipeline network,medial moraine,marine supra littoral zone
surface radiation budget,missing_in_envo,shortwave radiation,ultraviolet radiation,particle radiation
surface radiation budget network,missing_in_envo,stellar radiation energy,surface convergence,shortwave radiation
surface radiation research branch air resources laboratory oar noaa u s department of commerce,missing_in_envo,,,
surface wave,missing_in_envo,surface water,surface layer,surface hoar
surface waves investigation and monitoring instrument,missing_in_envo,,,
surface winds,missing_in_envo,surface soil,surface water,surface landform
termination shock,missing_in_envo,mainshock,fermentation pit,fermentation starter
terrestrial radiation,missing_in_envo,terrestrial mining,terrestrial ecoregion,terrestrial biome
the h2o antarctica microwave stratospheric and tropospheric radiometers hamstrad program,missing_in_envo,,,
the scanner for radiation budget,missing_in_envo,near infrared radiation,stellar radiation energy,stellar radiation
the submillimeter wave astronomy satellite,missing_in_envo,,,
the u s max 91 program of flare research campaigns,missing_in_envo,,,
thermal infrared,missing_in_envo,thermocline,thermal energy,isothermal surface
thermal wind,missing_in_envo,thermocline,thermal energy,thermal pollution
thermosphere ionosphere mesosphere energetics and dynamics,missing_in_envo,,,
topex microwave radiometer,missing_in_envo,microwave radiation,microwave stellar radiation,tropical grassland biome
topographic wave,missing_in_envo,topographic upwelling front,geographic feature,eutrophic water
topographic waves,missing_in_envo,geographic basin,topographic upwelling front,geographic feature
total electron content,missing_in_envo,tropical environment,tectonic movement,holothurian digestive tract contents
total solar irradiance,missing_in_envo,stellar radiation,ultraviolet stellar radiation,x ray stellar radiation
trade wind,missing_in_envo,drainage wind,train,straight line wind
transverse wave,missing_in_envo,transvasement,river water,sterile water
trmm microwave imager,missing_in_envo,microwave radiation,water ice layer,microbial mat
tropical cyclone force wind extent,missing_in_envo,tropical coniferous forest biome,tropical thorn forest,subtropical coniferous forest biome
tropical instability wave experiment,missing_in_envo,anatomical entity environment,tropical marginal sea biome,tropical environment
tropical rainfall measuring mission mesoscale atmospheric processes laboratory for atmospheres earth sciences division science and exploration directorate goddard space flight center nasa,missing_in_envo,,,
tropical storm force wind extent,missing_in_envo,tropical thorn forest,tropical mixed forest biome,tropical storm
tropics microwave spectrometer,missing_in_envo,tropical moist broadleaf forest biome,tropical marginal sea biome,tropical broadleaf forest biome
tropospheric wind earth radio location experiment,missing_in_envo,atmospheric aerosolised particle formation event,atmospheric secondary aerosol formation process,aerosolised particle formation event
two ribbon flare,missing_in_envo,ribbon lake,hydrocarbon flame,wind farm
u v wind components,missing_in_envo,cinder cone,conveyor belt component,land consumption process
ultra high energy cosmic radiation,missing_in_envo,electromagnetic radiation,ultraviolet radiation,acoustic radiation
ultraviolet,missing_in_envo,ultraviolet radiation,ultisol,strait
ultraviolet flux,missing_in_envo,ultraviolet radiation,ultraviolet stellar radiation,toilet fixture
ultraviolet radiance,missing_in_envo,ultraviolet radiation,ultraviolet stellar radiation,ultrasound radiation
ultraviolet wavelengths,missing_in_envo,ultraviolet radiation,ultraviolet stellar radiation,electromagnetic wave energy
ulysses grb xray flare catalog,missing_in_envo,,,
unified radio and plasma wave experiment ulysses,missing_in_envo,,,
upper level winds,missing_in_envo,squall wind,jet effect wind,upper air
upslope wind,missing_in_envo,slope flow,foehn wind,planetary wind
upwelling longwave radiation,missing_in_envo,outgoing longwave radiation,microwave radiation,radio wave radiation
usda uv b radiation monitoring program,missing_in_envo,environmental monitoring program area,pollution monitoring,environmental monitoring area
usgs desert winds geological meteorological ground station,missing_in_envo,,,
valley wind,missing_in_envo,fall wind,squall wind,valley
van allen radiation belts,missing_in_envo,particle radiation,far infrared radiation,gamma ray radiation
variability of solar irradiance and gravity oscillations,missing_in_envo,,,
veering wind,missing_in_envo,drainage wind,freezing rain,foehn wind
velocity azimuth display vertical wind profiles,missing_in_envo,,,
vertical wind motion,missing_in_envo,atmospheric wind direction,gravitational motion,material pooling disposition
vertical wind shear,missing_in_envo,atmospheric wind speed,obsolete vertically mixed estuary,electrical switch
vertical wind velocity speed,missing_in_envo,atmospheric wind speed,atmospheric wind intensity,material warming process
wave,missing_in_envo,cave,swale,eaves
wave breaking,missing_in_envo,water based rain,paved parking lot,water raindrop
wave cut notch platforms,missing_in_envo,wave cut platform,waste treatment plant,tectonic plate
wave diffraction,missing_in_envo,water infiltration,shortwave radiation,microwave radiation
wave direction,missing_in_envo,shortwave radiation,microwave radiation,radio wave radiation
wave displ max ampl,missing_in_envo,waste disposal process,,
wave displ min ampl,missing_in_envo,waste disposal process,water based rainfall,private swimming pool
wave displ unit,missing_in_envo,sewage plant,water droplet,waterspout
wave energy production use,missing_in_envo,algal production,wave energy,lumber production process
wave erosion,missing_in_envo,erosion,planetary erosion,soil erosion
wave fetch,missing_in_envo,cave entrance,wave energy,water truck
wave form,missing_in_envo,cave floor,aeroform,wave cut platform
wave frequency,missing_in_envo,wave energy,water truck,sake brewery
wave height,missing_in_envo,wave energy,sea surface height,weathering
wave length,missing_in_envo,wave energy,sewage plant,wind wave energy
wave overtopping,missing_in_envo,wave energy,water cooling,weathering
wave period,missing_in_envo,wave energy,beaver pond,water body
wave phenomena,missing_in_envo,wave energy,safe environment,sea water environment
wave process,missing_in_envo,water flow process,land use process,drainage process
wave propagation,missing_in_envo,shortwave radiation,microwave radiation,radio wave radiation
wave quantity,missing_in_envo,wave energy,sewage plant,water current
wave refraction,missing_in_envo,water infiltration,shortwave radiation,microwave radiation
wave runup,missing_in_envo,water raindrop,wave energy,water truck
wave setup,missing_in_envo,water tap,warm seep,water scum
wave shoaling,missing_in_envo,water cooling,wave energy,water pollution
wave spectra,missing_in_envo,cave entrance,wave energy,water based rain
wave speed,missing_in_envo,wave energy,watershed,warm seep
wave speed direction,missing_in_envo,atmospheric wind direction,microwave stellar radiation,radio wave stellar radiation
wave state,missing_in_envo,sea state,waste water,cave system
wave type,missing_in_envo,water tap,wave energy,water table
wave types,missing_in_envo,water tap,wave energy,water table
waves,missing_in_envo,eaves,cave,swale
waves of high frequency and sounder for probing electron density by relaxation,missing_in_envo,,,
white light flare,missing_in_envo,winter blizzard,lightning flash,water intake
wind and temperature spectrometer,missing_in_envo,high temperature environment,temperature of water,temperate environment
wind chill,missing_in_envo,town hall,hill,oil mill
wind chill index,missing_in_envo,fluid cline,hillside,marine cline
wind direction,missing_in_envo,atmospheric wind direction,infrared radiation,ingestion
wind direction profiles,missing_in_envo,island formation process,ground deformation process,snow and ice accumulation process
wind direction tendency,missing_in_envo,ionization energy,atmospheric wind direction,wind wave energy
wind driven circulation,missing_in_envo,mass wasting driven seismic vibration,explosion driven seismic vibration,impact driven seismic vibration
wind dynamics,missing_in_envo,wing dam,wind farm,hydrodynamic escape
wind energy production use,missing_in_envo,hydrogen production process,lumber production process,hygienic food production area
wind erosion,missing_in_envo,soil erosion,erosion,intrusion
wind imaging interferometer,missing_in_envo,ice bearing permafrost,saline water environment,drinking water reservoir
wind indices,missing_in_envo,pain clinic,wind gust,land ice mass
wind mfi bow shock crossing time catalog,missing_in_envo,,,
wind mfi interplanetary shock catalog,missing_in_envo,inner planetary core,planetary photic zone,
wind mfi magnetic cloud catalog,missing_in_envo,tundra climatic condition,,
wind monitor,missing_in_envo,wind storm,pollution monitoring,motor
wind power,missing_in_envo,window,wind storm,wind farm
wind profilers,missing_in_envo,thawing process,biofilter,indoor toilet
wind profiles,missing_in_envo,thawing process,indoor toilet,wildfire
wind sat,missing_in_envo,wind gust,wind storm,wind farm
wind scatterometer,missing_in_envo,wind storm,wind farm,lithometeor
wind shear,missing_in_envo,wind farm,wind storm,inland sea
wind soho radio burst2cme catalog,missing_in_envo,,,
wind solar wind crossing time catalog,missing_in_envo,,,
wind speed tendency,missing_in_envo,wind wave energy,wind gust,sound wave energy
wind stereo radio burst catalog,missing_in_envo,infrared stellar radiation,ionizing stellar radiation,stellar radiation
wind storms,missing_in_envo,wind storm,wind gust,wind farm
wind stress,missing_in_envo,wind storm,wind gust,thawing process
wind vanes,missing_in_envo,wind gust,wind farm,wind wave energy
wind velocity speed,missing_in_envo,induced magnetosphere,building envelope,
wind velocity speed profiles,missing_in_envo,biodiversity conservation process,advective transport process,ice loss process
wind waves,missing_in_envo,wind wave energy,wind gust,wind farm
world wind learning technologies ames research center nasa,missing_in_envo,,,
x ray background,missing_in_envo,playground,x ray radiation,fairground
x ray burst,missing_in_envo,dry microburst,dry macroburst,x ray radiation
x ray bursts,missing_in_envo,dry microburst,dry macroburst,x ray radiation
x ray class field,missing_in_envo,gravel field,rice field,lava field
x ray flare,missing_in_envo,dry lake,rural area,grass fire
x ray flare class,missing_in_envo,flat glass,x ray stellar radiation,day care facility
x ray flare termination,missing_in_envo,x ray stellar radiation,x ray radiation,gamma ray stellar radiation
x ray flux,missing_in_envo,brake fluid,crustal fluid,colorant fluid
x rays,missing_in_envo,tray,rapids,
yellow wind,missing_in_envo,fall wind,stellar wind,squall wind
yohkoh hard xray flare catalog,missing_in_envo,,,
