term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs,semantically_similar_terms,initial_category,recommended_action,category_rationale,candidate_merged_definition_draft,term_norm,definitions_text_norm,sources_list,strong_hits,weak_hits,farfield_hits,admin_hits,heliophysics_source_hits,category_priority,evidence_strength,relevance_score,workshop_priority_score,exclude_farfield,exclude_low_relevance,manual_include,manual_exclude,selected_for_ranking
landscape,True,False,False,,"GEMET: The traits, patterns, and structure of a specific geographic area, including its biological composition, its physical environment, and its anthropogenic or social patterns. An area where interacting ecosystems are grouped and repeated in similar form.; GCMD: The fundamental traits of a specific geographic area; including its biological composition, physical environment and anthropogenic or social patterns.",2,0,GCMD | GEMET,2,"GEMET: The traits, patterns, and structure of a specific geographic area, including its biological composition, its physical environment, and its anthropogenic or social patterns. An area where interacting ecosystems are grouped and repeated in similar form. || GCMD: The fundamental traits of a specific geographic area; including its biological composition, physical environment and anthropogenic or social patterns.",GCMD <-> GEMET,urban landscape (0.83),Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.68, min=0.68, distinct_superclasses=2)",,landscape,"gemet: the traits, patterns, and structure of a specific geographic area, including its biological composition, its physical environment, and its anthropogenic or social patterns. an area where interacting ecosystems are grouped and repeated in similar form.; gcmd: the fundamental traits of a specific geographic area; including its biological composition, physical environment and anthropogenic or social patterns.","['gcmd', 'gemet']",0,1,1,0,0,4.0,1.7577796618689756,-1.0,0.3684505302778434,True,True,False,False,False
landscape after mining,True,False,False,,"GEMET: The process of mining disfigures the surface of the land, and in the absence of reclamation leads to permanent scars. The process spoils the vital topsoil, disrupts drainage patterns, destroys the productive capacity of agricultural and forest land and impairs their aesthetic and social value.",1,0,GEMET,1,"GEMET: The process of mining disfigures the surface of the land, and in the absence of reclamation leads to permanent scars. The process spoils the vital topsoil, disrupts drainage patterns, destroys the productive capacity of agricultural and forest land and impairs their aesthetic and social value.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,landscape after mining,"gemet: the process of mining disfigures the surface of the land, and in the absence of reclamation leads to permanent scars. the process spoils the vital topsoil, disrupts drainage patterns, destroys the productive capacity of agricultural and forest land and impairs their aesthetic and social value.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
landscape conservation,True,False,False,,"GEMET: The safeguarding, for public enjoyment, of landscape and of opportunities for outdoor recreation, tourism and similar activities; the concept includes the preservation and enhancement not only of what has been inherited but the provision of new amenities and facilities.",1,0,GEMET,1,"GEMET: The safeguarding, for public enjoyment, of landscape and of opportunities for outdoor recreation, tourism and similar activities; the concept includes the preservation and enhancement not only of what has been inherited but the provision of new amenities and facilities.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,landscape conservation,"gemet: the safeguarding, for public enjoyment, of landscape and of opportunities for outdoor recreation, tourism and similar activities; the concept includes the preservation and enhancement not only of what has been inherited but the provision of new amenities and facilities.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
landscape ecology,True,False,False,,GEMET: The study of landscapes taking account of the ecology of their biological populations. The subjects thus embraces geomorphology and ecology and is applied to the design and architecture of landscapes.; GCMD: The study of the distribution patterns of communities and ecosystems; the ecological processes that affect those patterns and changes in pattern and process over time.,2,0,GCMD | GEMET,2,GEMET: The study of landscapes taking account of the ecology of their biological populations. The subjects thus embraces geomorphology and ecology and is applied to the design and architecture of landscapes. || GCMD: The study of the distribution patterns of communities and ecosystems; the ecological processes that affect those patterns and changes in pattern and process over time.,GCMD <-> GEMET,synecology (0.41) | population biology (0.33) | epidemiology (0.31),Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.42, min=0.42, distinct_superclasses=2)",,landscape ecology,gemet: the study of landscapes taking account of the ecology of their biological populations. the subjects thus embraces geomorphology and ecology and is applied to the design and architecture of landscapes.; gcmd: the study of the distribution patterns of communities and ecosystems; the ecological processes that affect those patterns and changes in pattern and process over time.,"['gcmd', 'gemet']",0,1,1,0,0,4.0,1.7577796618689756,-1.0,0.3684505302778434,True,True,False,False,False
landscape planning,True,False,False,,"GEMET: The aspect of the land use planning process that deals with physical, biological, aesthetic, cultural, and historical values and with the relationships and planning between these values, land uses, and the environment.",1,0,GEMET,1,"GEMET: The aspect of the land use planning process that deals with physical, biological, aesthetic, cultural, and historical values and with the relationships and planning between these values, land uses, and the environment.",,water resources development (0.32) | industrial development (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,landscape planning,"gemet: the aspect of the land use planning process that deals with physical, biological, aesthetic, cultural, and historical values and with the relationships and planning between these values, land uses, and the environment.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
landslide,True,False,False,,"GEMET: Mass-movement landforms and processes involving the downslope transport, under gravitationary influence of soil and rock material en masse.; GCMD: The down slope movement of soil, rock, and other weathered materials because of gravity.",2,0,GCMD | GEMET,2,"GEMET: Mass-movement landforms and processes involving the downslope transport, under gravitationary influence of soil and rock material en masse. || GCMD: The down slope movement of soil, rock, and other weathered materials because of gravity.",GCMD <-> GEMET,landslides (0.49) | erosion/sedimentation (0.39) | water infiltration into the ground (0.32),Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.29, min=0.29, distinct_superclasses=2)",,landslide,"gemet: mass-movement landforms and processes involving the downslope transport, under gravitationary influence of soil and rock material en masse.; gcmd: the down slope movement of soil, rock, and other weathered materials because of gravity.","['gcmd', 'gemet']",0,1,1,0,0,4.0,1.7577796618689756,-1.0,0.3684505302778434,True,True,False,False,False
landslides,True,False,False,,"GCMD: A slide of a large mass of dirt and rock down a mountain or cliff.; GCMD: A general term for a wide variety of processes and landforms involving the downslope movement, under gravity, of masses of soil and rock material.; GCMD: The down slope movement of soil, rock, and other weathered materials because of gravity.; GCMD: A general term covering a wide variety of mass-movement landforms and processesinvolving the downslope transport, under gravitational influence, of soil and rock material en masse. Usually the displaced material move over a relatively confined zone or surface of shear. The wide range of sites and structures, andof material properties affecting resistance to shear, result in a great range of landslide morephology, rates, patterns of movement, and scale. Landsliding is usually preceded, accompanied, and followed by imperceptible creep along thesurface of sliding and/or within the slide mass. Terminology designating landslide types generally refers to the landform as well as the process responsible for it, e.g. rockfall, translational slide, block glide, avalanche,mudflow, liquefaction slide and slump. <br><br> A Landslide Advisory may be included in other types of advisories such as ones for earthquakes, volcanic activity, and floods. Landslide advisories may alsotake the form of landslide susceptibility and probability maps.",4,0,GCMD,1,"GCMD: A slide of a large mass of dirt and rock down a mountain or cliff. || GCMD: A general term for a wide variety of processes and landforms involving the downslope movement, under gravity, of masses of soil and rock material. || GCMD: The down slope movement of soil, rock, and other weathered materials because of gravity. || GCMD: A general term covering a wide variety of mass-movement landforms and processesinvolving the downslope transport, under gravitational influence, of soil and rock material en masse. Usually the displaced material move over a relatively confined zone or surface of shear. The wide range of sites and structures, andof material properties affecting resistance to shear, result in a great range of landslide morephology, rates, patterns of movement, and scale. Landsliding is usually preceded, accompanied, and followed by imperceptible creep along thesurface of sliding and/or within the slide mass. Terminology designating landslide types generally refers to the landform as well as the process responsible for it, e.g. rockfall, translational slide, block glide, avalanche,mudflow, liquefaction slide and slump. <br><br> A Landslide Advisory may be included in other types of advisories such as ones for earthquakes, volcanic activity, and floods. Landslide advisories may alsotake the form of landslide susceptibility and probability maps.",,landslide (0.49),Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.34, min=0.22, distinct_superclasses=2)",,landslides,"gcmd: a slide of a large mass of dirt and rock down a mountain or cliff.; gcmd: a general term for a wide variety of processes and landforms involving the downslope movement, under gravity, of masses of soil and rock material.; gcmd: the down slope movement of soil, rock, and other weathered materials because of gravity.; gcmd: a general term covering a wide variety of mass-movement landforms and processesinvolving the downslope transport, under gravitational influence, of soil and rock material en masse. usually the displaced material move over a relatively confined zone or surface of shear. the wide range of sites and structures, andof material properties affecting resistance to shear, result in a great range of landslide morephology, rates, patterns of movement, and scale. landsliding is usually preceded, accompanied, and followed by imperceptible creep along thesurface of sliding and/or within the slide mass. terminology designating landslide types generally refers to the landform as well as the process responsible for it, e.g. rockfall, translational slide, block glide, avalanche,mudflow, liquefaction slide and slump. <br><br> a landslide advisory may be included in other types of advisories such as ones for earthquakes, volcanic activity, and floods. landslide advisories may alsotake the form of landslide susceptibility and probability maps.",['gcmd'],0,1,1,0,0,4.0,2.0253262207700673,-1.0,0.3822358193397546,True,True,False,False,False
lead compound,True,False,False,,"GEMET: Lead compounds are present as gasoline additives, in paint, ceramic products, roofing, caulking, electrical applications, tubes, or containers. Lead exposure may be due to air, water, food, or soil. Lead in the air is primarily due to lead-based fuels and the combustion of solid waste, coal, oils, and emissions from alkyl lead manufacturers, wind blown dust volcanoes, the burning of lead-painted surfaces, and cigarette smoke. Lead in drinking water comes from leaching from lead pipes, connectors, and solder in both the distribution system and household plumbing.",1,0,GEMET,1,"GEMET: Lead compounds are present as gasoline additives, in paint, ceramic products, roofing, caulking, electrical applications, tubes, or containers. Lead exposure may be due to air, water, food, or soil. Lead in the air is primarily due to lead-based fuels and the combustion of solid waste, coal, oils, and emissions from alkyl lead manufacturers, wind blown dust volcanoes, the burning of lead-painted surfaces, and cigarette smoke. Lead in drinking water comes from leaching from lead pipes, connectors, and solder in both the distribution system and household plumbing.",,lead contamination (0.49) | lead level in blood (0.40) | unleaded petrol (0.38) | lead-in-petrol law (0.35),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,lead compound,"gemet: lead compounds are present as gasoline additives, in paint, ceramic products, roofing, caulking, electrical applications, tubes, or containers. lead exposure may be due to air, water, food, or soil. lead in the air is primarily due to lead-based fuels and the combustion of solid waste, coal, oils, and emissions from alkyl lead manufacturers, wind blown dust volcanoes, the burning of lead-painted surfaces, and cigarette smoke. lead in drinking water comes from leaching from lead pipes, connectors, and solder in both the distribution system and household plumbing.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
lead contamination,True,False,False,,"GEMET: The presence and release into the air, water and soil, of lead, a toxic metal used in plumbing, gasoline and lead-acid batteries.",1,0,GEMET,1,"GEMET: The presence and release into the air, water and soil, of lead, a toxic metal used in plumbing, gasoline and lead-acid batteries.",,lead compound (0.49),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,lead contamination,"gemet: the presence and release into the air, water and soil, of lead, a toxic metal used in plumbing, gasoline and lead-acid batteries.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
legislative competence,True,False,False,,"GEMET: The skill, knowledge, qualification, capacity or authority to make, give or enact rules with binding force upon a population or jurisdiction.",1,0,GEMET,1,"GEMET: The skill, knowledge, qualification, capacity or authority to make, give or enact rules with binding force upon a population or jurisdiction.",,administrative competence (0.46) | minister competence (0.40) | teaching (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,legislative competence,"gemet: the skill, knowledge, qualification, capacity or authority to make, give or enact rules with binding force upon a population or jurisdiction.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
length of growing season,True,False,False,,"GCMD: A growing season is the period of the year when crops and other plants grow successfully. The length of the growing season in any given region refers to the number of days when plant growth takes place. The growing season often determines which crops can be grown in an area, as some crops require long growing seasons, while others mature rapidly. Growing season length is limited by many different factors. Depending on the region and the climate, the growing season is influenced by air temperatures, frost days, rainfall, or daylight hours.",1,0,GCMD,1,"GCMD: A growing season is the period of the year when crops and other plants grow successfully. The length of the growing season in any given region refers to the number of days when plant growth takes place. The growing season often determines which crops can be grown in an area, as some crops require long growing seasons, while others mature rapidly. Growing season length is limited by many different factors. Depending on the region and the climate, the growing season is influenced by air temperatures, frost days, rainfall, or daylight hours.",,intensive farming (0.39) | horticulture (0.34) | biological development (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,length of growing season,"gcmd: a growing season is the period of the year when crops and other plants grow successfully. the length of the growing season in any given region refers to the number of days when plant growth takes place. the growing season often determines which crops can be grown in an area, as some crops require long growing seasons, while others mature rapidly. growing season length is limited by many different factors. depending on the region and the climate, the growing season is influenced by air temperatures, frost days, rainfall, or daylight hours.",['gcmd'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
less developed country,True,False,False,,"GEMET: One of the world's poorest nations, typically small in area and population, with low per capita incomes, literacy levels and medical standards, subsistence agriculture and a lack of exploitable minerals and competitive industries.",1,0,GEMET,1,"GEMET: One of the world's poorest nations, typically small in area and population, with low per capita incomes, literacy levels and medical standards, subsistence agriculture and a lack of exploitable minerals and competitive industries.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,less developed country,"gemet: one of the world's poorest nations, typically small in area and population, with low per capita incomes, literacy levels and medical standards, subsistence agriculture and a lack of exploitable minerals and competitive industries.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
liquid manure management system,True,False,False,,"GEMET: uses water to facilitate manure handling, including tanks and lagoons which store manure until it is applied to cropland, and creates the ideal anaerobic environment for methane production",1,0,GEMET,1,"GEMET: uses water to facilitate manure handling, including tanks and lagoons which store manure until it is applied to cropland, and creates the ideal anaerobic environment for methane production",,manure production (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,liquid manure management system,"gemet: uses water to facilitate manure handling, including tanks and lagoons which store manure until it is applied to cropland, and creates the ideal anaerobic environment for methane production",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
lysimetry,True,False,False,,GEMET: The measurement of the water percolating through soils and the determination of the materials dissolved by the water.,1,0,GEMET,1,GEMET: The measurement of the water percolating through soils and the determination of the materials dissolved by the water.,,soil water (0.34) | soil process (0.33) | ocean mass (0.31) | metrology (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,lysimetry,gemet: the measurement of the water percolating through soils and the determination of the materials dissolved by the water.,['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
macrophytes,True,False,False,,GCMD: Macrophytes are macroscopic vegetation.,1,0,GCMD,1,GCMD: Macrophytes are macroscopic vegetation.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,macrophytes,gcmd: macrophytes are macroscopic vegetation.,['gcmd'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
macroplastic concentration,True,False,False,,GCMD: Refers to the concentration of macroplastics (>5 mm) in the ocean.,1,0,GCMD,1,GCMD: Refers to the concentration of macroplastics (>5 mm) in the ocean.,,microplastic concentration (0.49),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,macroplastic concentration,gcmd: refers to the concentration of macroplastics (>5 mm) in the ocean.,['gcmd'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
mangrove,True,False,False,,"GEMET: Plant communities and trees that inhabit tidal swamps, muddy silt, and sand banks at the mouths of rivers and other low-lying areas which are regularly inundated by the sea, but which are protected from strong waves and currents. Mangroves are the only woody species that will grow where the land is periodically flooded with sea water; individual species have adapted themselves to different tidal levels, to various degrees of salinity, and to the nature of the mud or soil. Mangrove swamps and thickets support hundreds of terrestrial, marine, and amphibian species; have a special role in supporting estuarine fisheries; provide shelter, refuge and food for many forms of wildlife.",1,0,GEMET,1,"GEMET: Plant communities and trees that inhabit tidal swamps, muddy silt, and sand banks at the mouths of rivers and other low-lying areas which are regularly inundated by the sea, but which are protected from strong waves and currents. Mangroves are the only woody species that will grow where the land is periodically flooded with sea water; individual species have adapted themselves to different tidal levels, to various degrees of salinity, and to the nature of the mud or soil. Mangrove swamps and thickets support hundreds of terrestrial, marine, and amphibian species; have a special role in supporting estuarine fisheries; provide shelter, refuge and food for many forms of wildlife.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,mangrove,"gemet: plant communities and trees that inhabit tidal swamps, muddy silt, and sand banks at the mouths of rivers and other low-lying areas which are regularly inundated by the sea, but which are protected from strong waves and currents. mangroves are the only woody species that will grow where the land is periodically flooded with sea water; individual species have adapted themselves to different tidal levels, to various degrees of salinity, and to the nature of the mud or soil. mangrove swamps and thickets support hundreds of terrestrial, marine, and amphibian species; have a special role in supporting estuarine fisheries; provide shelter, refuge and food for many forms of wildlife.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
manure production,False,True,False,,GEMET: agriculture -> agricultural method -> manure production,0,1,GEMET,1,GEMET hierarchy: agriculture -> agricultural method -> manure production,,agricultural production (0.73) | means of agricultural production (0.66) | plant production (0.65) | agricultural exploitation (0.61) | food production (agriculture) (0.54) | substrate cultivation (0.44) | composting by producer (0.37) | agricultural holding (0.37),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,manure production,gemet: agriculture -> agricultural method -> manure production,['gemet'],0,1,1,0,0,1.0,0.4158883083359672,-1.0,0.03680981595092025,True,True,False,False,False
mapping of lichens,True,False,False,,"GEMET: Maps of lichens distribution indicating air quality. Fruticose lichens (with branched structures well above the surface) are more susceptible to SO2 damage than foliose lichens (whose leaflike thallus lies nearly flat on surface) and both in turn are more susceptible than crustose lichens (which embed their tissue in the cracks of bark, soil, or rocks). The use of morphological lichen types as indicators of air pollution concentrations is well developed.",1,0,GEMET,1,"GEMET: Maps of lichens distribution indicating air quality. Fruticose lichens (with branched structures well above the surface) are more susceptible to SO2 damage than foliose lichens (whose leaflike thallus lies nearly flat on surface) and both in turn are more susceptible than crustose lichens (which embed their tissue in the cracks of bark, soil, or rocks). The use of morphological lichen types as indicators of air pollution concentrations is well developed.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,mapping of lichens,"gemet: maps of lichens distribution indicating air quality. fruticose lichens (with branched structures well above the surface) are more susceptible to so2 damage than foliose lichens (whose leaflike thallus lies nearly flat on surface) and both in turn are more susceptible than crustose lichens (which embed their tissue in the cracks of bark, soil, or rocks). the use of morphological lichen types as indicators of air pollution concentrations is well developed.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
maquis,True,False,False,,"GEMET: A low evergreen shrub formation, usually found on siliceous soils in the Mediterranean lands where winter rainfall and summer drought are the characteristic climate features. It consists of a profusion of aromatic species, such as lavender, myrtle, oleander and rosemary and often includes abundant spiny shrubs. It has been suggested that the maquis is a secondary vegetation, occupying the lands cleared of their natural evergreen oak forests by human activity.",1,0,GEMET,1,"GEMET: A low evergreen shrub formation, usually found on siliceous soils in the Mediterranean lands where winter rainfall and summer drought are the characteristic climate features. It consists of a profusion of aromatic species, such as lavender, myrtle, oleander and rosemary and often includes abundant spiny shrubs. It has been suggested that the maquis is a secondary vegetation, occupying the lands cleared of their natural evergreen oak forests by human activity.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,maquis,"gemet: a low evergreen shrub formation, usually found on siliceous soils in the mediterranean lands where winter rainfall and summer drought are the characteristic climate features. it consists of a profusion of aromatic species, such as lavender, myrtle, oleander and rosemary and often includes abundant spiny shrubs. it has been suggested that the maquis is a secondary vegetation, occupying the lands cleared of their natural evergreen oak forests by human activity.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
marine conservation area,True,False,False,,"GEMET: Any section of a sea or ocean designated for special protection, often to prevent or reduce harm to its wildlife and ecosystems.",1,0,GEMET,1,"GEMET: Any section of a sea or ocean designated for special protection, often to prevent or reduce harm to its wildlife and ecosystems.",,reserve (0.62) | protection of animals (0.31) | protection of birds (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,marine conservation area,"gemet: any section of a sea or ocean designated for special protection, often to prevent or reduce harm to its wildlife and ecosystems.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
marine ecology,True,False,False,,GEMET: An integrative science that studies the basic structural and functional relationships within and among living populations and their physical-chemical environments in marine ecosystems. Marine ecology focuses on specific organisms as well as on particular environments or physical settings.,1,0,GEMET,1,GEMET: An integrative science that studies the basic structural and functional relationships within and among living populations and their physical-chemical environments in marine ecosystems. Marine ecology focuses on specific organisms as well as on particular environments or physical settings.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,marine ecology,gemet: an integrative science that studies the basic structural and functional relationships within and among living populations and their physical-chemical environments in marine ecosystems. marine ecology focuses on specific organisms as well as on particular environments or physical settings.,['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
marine fishery,True,False,False,,"GEMET: The harvest of animals and plants from the ocean to provide food and recreation for people, food for animals, and a variety of organic materials for industry.",1,0,GEMET,1,"GEMET: The harvest of animals and plants from the ocean to provide food and recreation for people, food for animals, and a variety of organic materials for industry.",,slaughtering of animals (0.46) | animal for slaughter (0.38) | slaughterhouse (0.35) | feeding of animals (0.34) | food waste (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,marine fishery,"gemet: the harvest of animals and plants from the ocean to provide food and recreation for people, food for animals, and a variety of organic materials for industry.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
maritime transport,True,False,False,,GEMET: Transportation of goods or persons by means of ships travelling on the sea.,1,0,GEMET,1,GEMET: Transportation of goods or persons by means of ships travelling on the sea.,,river transport (0.90) | water transportation (0.85) | merchant shipping (0.71) | maritime navigation (0.66) | road transport (0.59) | inland waterways transport (0.55) | rail transport (0.50) | waste transport (0.35),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,maritime transport,gemet: transportation of goods or persons by means of ships travelling on the sea.,['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
market economy,True,False,False,,"GEMET: A mixed economy that relies heavily on markets to answer the three basic questions of allocation, but with a modest amount of government involvement. While it is commonly termed capitalism, market-oriented economy is much more descriptive of how the economy is structured.",1,0,GEMET,1,"GEMET: A mixed economy that relies heavily on markets to answer the three basic questions of allocation, but with a modest amount of government involvement. While it is commonly termed capitalism, market-oriented economy is much more descriptive of how the economy is structured.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,market economy,"gemet: a mixed economy that relies heavily on markets to answer the three basic questions of allocation, but with a modest amount of government involvement. while it is commonly termed capitalism, market-oriented economy is much more descriptive of how the economy is structured.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
market form,True,False,False,,GEMET: The organizational form or structure of the trade or traffic of a particular commodity.,1,0,GEMET,1,GEMET: The organizational form or structure of the trade or traffic of a particular commodity.,,energy market (0.46) | supply and demand (0.35) | fast traffic (0.35),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,market form,gemet: the organizational form or structure of the trade or traffic of a particular commodity.,['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
market price,True,False,False,,GEMET: The price actually given in current market dealings; the actual price at which given stock or commodity is currently sold in the usual and ordinary course of trade and competition between sellers and buyers.,1,0,GEMET,1,GEMET: The price actually given in current market dealings; the actual price at which given stock or commodity is currently sold in the usual and ordinary course of trade and competition between sellers and buyers.,,supply and demand (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,market price,gemet: the price actually given in current market dealings; the actual price at which given stock or commodity is currently sold in the usual and ordinary course of trade and competition between sellers and buyers.,['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
market research,True,False,False,,"GEMET: The systematic gathering, recording, computing, and analysing of data about problems relating to the sale and distribution of goods and services for certain time periods.",1,0,GEMET,1,"GEMET: The systematic gathering, recording, computing, and analysing of data about problems relating to the sale and distribution of goods and services for certain time periods.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,market research,"gemet: the systematic gathering, recording, computing, and analysing of data about problems relating to the sale and distribution of goods and services for certain time periods.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
market study,True,False,False,,GEMET: The gathering and studying of data to determine the projection of demand for an item or service.,1,0,GEMET,1,GEMET: The gathering and studying of data to determine the projection of demand for an item or service.,,seismic monitoring (0.37) | replacement cost (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,market study,gemet: the gathering and studying of data to determine the projection of demand for an item or service.,['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
means of agricultural production,False,True,False,,GEMET: agriculture -> agricultural production -> means of agricultural production,0,1,GEMET,1,GEMET hierarchy: agriculture -> agricultural production -> means of agricultural production,,agricultural production (0.90) | plant production (0.85) | agricultural exploitation (0.81) | manure production (0.66) | food production (agriculture) (0.53) | agricultural holding (0.50) | processed agricultural produce (0.43) | agricultural structure (0.42),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,means of agricultural production,gemet: agriculture -> agricultural production -> means of agricultural production,['gemet'],0,1,1,0,0,1.0,0.4158883083359672,-1.0,0.03680981595092025,True,True,False,False,False
merchant shipping,True,False,False,,GEMET: Transportation of persons and goods by means of ships travelling along fixed navigation routes.,1,0,GEMET,1,GEMET: Transportation of persons and goods by means of ships travelling along fixed navigation routes.,,maritime transport (0.71) | river transport (0.69) | water transportation (0.57) | road transport (0.46) | maritime navigation (0.44) | inland waterways transport (0.42) | rail transport (0.41) | maritime law (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,merchant shipping,gemet: transportation of persons and goods by means of ships travelling along fixed navigation routes.,['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
mercury contamination,True,False,False,,"GEMET: The presence and release into the air, water and soil of mercury, a naturally occurring heavy metal element, by both natural occurrences such as vaporization and human activities such as burning coal, mining and smelting.",1,0,GEMET,1,"GEMET: The presence and release into the air, water and soil of mercury, a naturally occurring heavy metal element, by both natural occurrences such as vaporization and human activities such as burning coal, mining and smelting.",,cadmium contamination (0.36),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,mercury contamination,"gemet: the presence and release into the air, water and soil of mercury, a naturally occurring heavy metal element, by both natural occurrences such as vaporization and human activities such as burning coal, mining and smelting.",['gemet'],0,1,1,0,0,1.0,1.1090354888959124,-1.0,0.07252410166520595,True,True,False,False,False
