term,definitions,hierarchy_paths,sources
denitrification of waste gas,"['Current methods for controlling NOx emissions in motor vehicles include retardation of spark timing, increasing the air/fuel ratio, injecting water into the cylinders, decreasing the compression ratio, and recirculating exhaust gas. For stationary sources, one abatement method is to use a lower NOx producing fuel or to modify the combustion process by injecting steam into the combustion chamber.']",['overburden -> waste treatment -> purification -> waste air purification (gas) -> denitrification of waste gas'],['GEMET']
denitrification rate,"['The rate of biochemical reduction of nitrate or nitrite to gaseousnitrogen, either as molecular nitrogen or as an oxide of nitrogen.', 'The rate of biochemical reduction of nitrate or nitrite to gaseous nitrogen, either as molecular nitrogen or as an oxide of nitrogen.']","['EARTH SCIENCE -> AGRICULTURE -> SOILS -> DENITRIFICATION RATE', 'EARTH SCIENCE -> LAND SURFACE -> SOILS -> DENITRIFICATION RATE']",['GCMD']
density,"['The mass of unit volume of a substance.', 'The mass per unit volume of a substance. Oceanographic shorthand fordensity, sigma-t, may be included as a Detailed Variable.']","['Density', 'physical property -> density', 'EARTH SCIENCE -> OCEANS -> SALINITY/DENSITY -> DENSITY']","['HELIO Ontology', 'GEMET', 'GCMD']"
deposited particulate matter,[],['pollutant -> air pollutant -> atmospheric particulate -> deposited particulate matter'],['GEMET']
deposition,"['The process by which polluting material is precipitated from the atmosphere and accumulates in ecosystems.', 'In aerosol physics, deposition is the process by which aerosol particles collect or deposit themselves on solid surfaces, decreasing the concentration of the particles in the air. It can be divided into two sub-processes: dry and wet deposition. Deposition has large impact on surface aerosol concentration, which is crucial to air pollution, and impact on the ambient concentration which is important to radiation.', 'The act of depositing material, especially by a natural process; the resultant deposit.']","['pollution -> deposition', 'EARTH SCIENCE -> ATMOSPHERE -> AEROSOLS -> DEPOSITION', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> DEPOSITION', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> DEPOSITION']","['GEMET', 'GCMD']"
depth hoar,"[""Pertaining to the characteristics of the layer of ice crystals thatforms between the ground and snow cover by sublimation. It's alsoreferred to as sugar snow.""]","['EARTH SCIENCE -> CRYOSPHERE -> SNOW/ICE -> DEPTH HOAR', 'EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SNOW/ICE -> DEPTH HOAR']",['GCMD']
depths at specific ages,[],['EARTH SCIENCE -> CRYOSPHERE -> GLACIERS/ICE SHEETS -> DEPTHS AT SPECIFIC AGES'],['GCMD']
deputy pi,['An individual who is an administrative orscientific leader for an investigation operating under the supervision of aPrincipal Investigator.'],['DeputyPI -> deputy pi'],"['HELIO Ontology', 'SPASE Dictionary']"
derecho,"['A widespread convectively induced straight-line windstorm. Specifically, the term is defined as any family of downburst clusters produced by an extratropical mesoscale convective system. Derechos may or may not be accompanied by tornadoes. Such events were first recognized in the Corn Belt region of the United States, but have since been observed in many other areas of the midlatitudes.']",['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> WIND STORMS -> DERECHO'],['GCMD']
deregulation,"['The removal or relaxation of government control over the economic activities of some commercial entity, industry or economic sector.']",['economy -> economic policy -> deregulation'],['GEMET']
derived from,['A transformed or altered version of aresource instance.'],['DerivedFrom -> derived from'],['SPASE Dictionary']
dermapteran,[],['biosphere -> organism -> animal -> invertebrate -> Articulata -> arthropod -> insect -> dermapteran'],['GEMET']
des - dictionary of environmental science and technology - second edition,[],['DES - Dictionary of Environmental Science and Technology - Second Edition'],['GEMET']
desalination,"['Removal of salt, as from water or soil.']",['industrial process -> physicochemical treatment -> desalination'],['GEMET']
desalination plant,"['1) Plants for the extraction of fresh water from saltwater by the removal of salts, usually by distilling. 2) Parts of the world with severe water shortages are looking to desalination plants to solve their problems. Desalination of water is still nearly four times more expensive than obtaining water from conventional sources. However technology is improving and costs are likely to decrease slightly in the future. There is now more interest in building distillation plants beside electric installations so that the waste heat from power generation can be used to drive the desalination process.']",['built environment -> building -> industrial site -> industrial plant (building) -> desalination plant'],['GEMET']
desalinization,['The process of removing salt from seawater or brackish water.'],['EARTH SCIENCE -> OCEANS -> SALINITY/DENSITY -> DESALINIZATION'],['GCMD']
description,"['A narrative explanation with detailappropriate for the item it describes. For example a description of dataresource should include discussions of the main quantities in the resource,possible uses and search terms. A description should also include whetherany corrections (i.e, geometry, inertial) have been applied to the resource.']",['Description'],['SPASE Dictionary']
descriptive and regional oceanography,[],[],['AGU Index Terms']
desert,"['A wide, open, comparatively barren tract of land with few forms of life and little rainfall.']",['land -> natural area -> terrestrial area -> arid land -> desert'],['GEMET']
desert climate,"['A climate type which is characterized by insufficient moisture to support appreciable plant life; that is, a climate of extreme aridity.']",['climate -> climate type -> desert climate'],['GEMET']
desert locust,[],['biosphere -> organism -> animal -> invertebrate -> Articulata -> arthropod -> insect -> orthopteran -> grasshopper -> desert locust'],['GEMET']
desert scrub,"['Pertaining to an area between 15 and 35 degrees N & S characterized by less than 300 mm annual rainfall and consisting of vegetation adapted to hot, dry conditions.']",['EARTH SCIENCE -> BIOSPHERE -> ECOSYSTEMS -> TERRESTRIAL ECOSYSTEMS -> DESERTS -> DESERT SCRUB'],['GCMD']
desertification,"[""1) The development of desert conditions as a result of human activity or climatic changes. 2) The process of land damage which allows the soil to spread like a desert in arid and semi-arid regions. There is a loss of vegetative cover and the soil deteriorates in texture, nutrient content and fertility. Desertification affects the lives of three-quarters of the world's population, 70% of all drylands and one quarter of the total land area of the planet. There are many reasons for desertification, but the majority are caused by human activities, overgrazing, deforestation, poor land management and over-exploitation. Agenda 21 states that the priority in combating desertification should be establishing preventive measures for lands that are not yet, or are only slightly, degraded."", 'The formation of deserts in arid and semi-arid regions from overgrazing, deforestation, poor agricultural practices, and climate change. Evidence of desertification can be found today in Africa, the Middle East, and the southwestern United States.']","['effect -> environmental change -> desertification', 'EARTH SCIENCE -> HUMAN DIMENSIONS -> HABITAT CONVERSION/FRAGMENTATION -> DESERTIFICATION']","['AGU Index Terms', 'GEMET', 'GCMD']"
desertification control,"['Remedial and preventive actions adopted against desertification include irrigation, planting of trees and grasses, the erection of fences to secure sand dunes, and a careful management of water resources.']",['environmental control -> desertification control'],['GEMET']
deserts,"['A region with a mean annual precipitation of 10 inches or less, and so devoid of vegetation as to be incapable of supporting any considerable population.']",['EARTH SCIENCE -> BIOSPHERE -> ECOSYSTEMS -> TERRESTRIAL ECOSYSTEMS -> DESERTS'],['GCMD']
design (project),"['A graphic representation, especially a detailed plan for construction or manufacture.']",['environmental planning -> design (project) | industrial process -> design (project)'],['GEMET']
desk study,[],['evaluation -> desk study'],['GEMET']
desktop geographic information systems,"['Desktop Geographic Information Systems (GIS) are defined as Data Analysis and Visualization Services available specifically for the desktop that allows users to capture, store, update, manipulate, analyze, and display all forms of geographically referenced information.']",['EARTH SCIENCE SERVICES -> DATA ANALYSIS AND VISUALIZATION -> GEOGRAPHIC INFORMATION SYSTEMS -> DESKTOP GEOGRAPHIC INFORMATION SYSTEMS'],['GCMD']
desorption,['The process of removing a sorbed substance by the reverse of adsorption or absorption.'],['physicochemical process -> desorption'],['GEMET']
destination of transport,"['The targeted place to which persons, materials or commodities are conveyed over land, water or through the air.']",['transportation -> destination of transport'],['GEMET']
destruction potential index,"['Destruction Potential Index (DPI), is a measure of the potential for damage and casualties with a particular outbreak.']",['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> TORNADOES -> DESTRUCTION POTENTIAL INDEX'],['GCMD']
desulphurisation,"['The removal of sulphur, as from molten metals or petroleum oil. Sulphur residues in fuels end up as sulphur dioxide when the fuel is burned causing acid rain.']",['chemical process -> removal -> desulphurisation'],['GEMET']
desulphurisation of fuel,['Removal of sulfur from fossil fuels (or removal of sulfur dioxide from combustion fuel gases) to reduce pollution.'],['industrial process -> chemical treatment -> desulphurisation of fuel'],['GEMET']
detection,"['The act or process of discovering evidence or proof of governmental, legal or ethical violations.']",['administration -> administrative procedure -> detection'],['GEMET']
detector,"['any device that receives a signal or stimulus (as heat or pressure or light or motion etc.) and responds to it in a distinctive manner', 'A mechanical, electrical, or chemical device that automatically identifies and records or registers a stimulus, such as an environmental change in pressure or temperature, an electrical signal, or radiation from a radioactive material.']","['Detector', 'equipment -> monitoring equipment -> detector']","['HELIO Ontology', 'GEMET']"
detector array,['Infrared radiation'],['DetectorArray -> detector array'],['HELIO Ontology']
detergent,"['A surface-active agent used for removing dirt and grease from a variety of surfaces and materials. Early detergents contained alkyl sulphonates, which proved resistant to bacterial decomposition, causing foaming in rivers and difficulties in sewage treatment plants. These hard detergents were replaced during the 1960s with soft biodegradable detergents. Apprehension continues to be expressed about the use of phosphates in detergents, helping to promote the process of eutrophication. No satisfactory substitute has yet emerged.']",['product -> industrial product -> cleansing product -> detergent'],['GEMET']
determination method,"['Method employed in the assessment or in the evaluation of a quantity, a quality, a fact, an event, etc.']",['methodology -> method -> determination method'],['GEMET']
deterrence,['Punishment aiming at deterring the criminal from repeating his offences or deterring others from committing similar acts.'],['management -> policy instrument -> deterrence'],['GEMET']
deterrent,"['Any measure, implement or policy designed to discourage or restrain the actions or advance of another agent, organization or state.']",['management -> policy instrument -> deterrence -> deterrent'],['GEMET']
detoxification,['The act or process of removing a poison or the toxic properties of a substance in the body.'],['health -> health care -> health protection -> detoxification'],['GEMET']
detritus,"['Nonliving particulate matter, a heterogeneous class of marine particles including """"dead"""" phytoplankton, fecal pellets, molts, dead organisms, aggregates, and terrigenous material.']",['EARTH SCIENCE -> OCEANS -> OCEAN CHEMISTRY -> ORGANIC MATTER -> DETRITUS'],['GCMD']
deuterium oxide/heavy water,"['Deuterium oxide (D2O), aka “heavy water”, is the form of water that contains two atoms of the 2H, or D, isotope. The term heavy water is also used for water in which 2H atoms replace only some of the 1H atoms. In this case, rapid exchange between the two isotopes forms twice as many “semiheavy” HDO molecules as D2O.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> HYDROGEN COMPOUNDS -> DEUTERIUM OXIDE/HEAVY WATER'],['GCMD']
developed country,"['A nation possessing a relatively high degree of industrialization, infrastructure and other capital investment, sophisticated technology, widespread literacy and advanced living standards among its populations as a whole.']",['society -> sociopolitical aspect -> status of development -> developed country'],['GEMET']
developer,['The developer of a system to imitate asituation or process.'],['Developer'],['SPASE Dictionary']
developing countries debt,[],['finances -> credit -> debt -> developing countries debt'],['GEMET']
developing country,['A country whose people are beginning to utilize available resources in order to bring about a sustained increase in per capita production of goods and services.'],['society -> sociopolitical aspect -> status of development -> developing country'],['GEMET']
development aid,"['The economic assistance or other types of support provided to developing countries to promote or encourage advancement in living standards, institutions, infrastructure, agricultural practices and other aspects of an economy, and to resolve problems typically associated with developing countries.']",['policy -> aid policy -> development aid'],['GEMET']
development area,['Area which has been given special help from a government to encourage business and factories to be set up there.'],['land setup -> development area'],['GEMET']
development co-operation,[],['management -> policy instrument -> co-operation -> development co-operation'],['GEMET']
development model,"['A description, representation, or conception of the economic advancement process of a region or people.']",['economy -> economic growth -> development model'],['GEMET']
development pattern,"['The combination of qualities, structures, acts and tendencies characterizing the economic and social growth of a community or human group.']",['society -> social process -> development pattern'],['GEMET']
development plan,"['The statement of local planning policies that each local planning authority is required by statute to maintain, and which can only be made or altered by following the procedures prescribed for that purpose, which include obligations to consult widely and to hold a public local inquiry into objections. The development plan includes: 1) the structure plan for the area (normally prepared by the country council); 2) an area-wide development plan for each district council area.']",['environmental planning -> plan -> development plan'],['GEMET']
development planning,"['The act or process of formulating a course of action that promotes the economic advancement of a region or people, particularly in countries known to have low levels of economic productivity and technological sophistication.']",['planning -> development planning'],['GEMET']
development policy,"['policy of the European Union which has as a primary objective the eradication of poverty in the context of sustainable development, including pursuit of the MDGs, as well as the promotion of democracy, good governance and respect for human rights']",['policy -> development policy'],['GEMET']
deviation,['The difference between an observed value andthe expected value of a quantity.'],['Deviation'],['SPASE Dictionary']
devolution,"['The act of assigning or entrusting authority, powers or functions to another as deputy or agent, typically to a subordinate in the administrative structure of an organization or institution.']",['administration -> public function -> devolution'],['GEMET']
devonian,[],[],['AGU Index Terms']
dew point depression,"['(Also called spread, dewpoint spread, dewpoint deficit.) The difference in degrees between the air temperature and the dewpoint.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> UPPER AIR TEMPERATURE -> DEW POINT TEMPERATURE -> DEW POINT DEPRESSION'],['GCMD']
dew point temperature,['The temperature to which a given air parcel must be cooled at constant pressure and constant water vapor content in order for saturation to occur.'],"['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> SURFACE TEMPERATURE -> DEW POINT TEMPERATURE', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WATER VAPOR -> WATER VAPOR INDICATORS -> DEW POINT TEMPERATURE', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> UPPER AIR TEMPERATURE -> DEW POINT TEMPERATURE']",['GCMD']
dewpoint depression,"['(Also called spread, dewpoint spread, dewpoint deficit.) The difference in degrees between the air temperature and the dewpoint.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> SURFACE TEMPERATURE -> DEW POINT TEMPERATURE -> DEWPOINT DEPRESSION'],['GCMD']
diagenesis,['The physical and chemical change undergone by sediment during lithificationand compaction.'],['EARTH SCIENCE -> OCEANS -> MARINE SEDIMENTS -> DIAGENESIS'],['GCMD']
dialysis,['A process of selective diffusion through a membrane; usually used to separate low-molecular-weight solutes which diffuse through the membrane from the colloidal and high-molecular-weight solutes which do not.'],['physicochemical process -> dialysis'],['GEMET']
diapir and diapirism,[],[],['AGU Index Terms']
diatom,"['Unicellular algae, some of which are colonial, green or brownish in colour (but all contain chlorophyll) and with siliceous and often highly sculptured cell walls. Diatoms make up much of the producer level in marine and freshwater food chains, and they have contributed to the formation of oil reserves. Deposits of diatomaceous earths were formed by the accumulation of diatom cell walls.']",['biosphere -> organism -> plant (biology) -> cryptogam -> alga -> chrysophyta -> diatom'],['GEMET']
diatoms,"[""'Diatoms are algae of the Phylum Ochrista that lack flagella. They havea jewel-like appearance. They play an extremely important role inaquatic food webs in that they are the second most abundant component ofmarine plankton (after blue-green algae)."", 'Diatoms are algae of the Phylum Ochrista that lack flagella. They havea jewel-like appearance. They play an extremely important role inaquatic food webs in that they are the second most abundant component ofmarine plankton (after blue-green algae).']","['EARTH SCIENCE -> BIOLOGICAL CLASSIFICATION -> PLANTS -> MICROALGAE -> DIATOMS', 'EARTH SCIENCE -> BIOLOGICAL CLASSIFICATION -> PROTISTS -> DIATOMS']",['GCMD']
dicarbon monoxide,"['Dicarbon monoxide (C2O) is a molecule that contains two carbon atoms and one oxygen atom. It is a linear molecule that, because of its simplicity, is of interest in a variety of areas. It is, however, so extremely reactive that it is not encountered in everyday life. It is classified as a cumulene and an oxocarbon.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> CARBON AND HYDROCARBON COMPOUNDS -> DICARBON MONOXIDE'],['GCMD']
dicche - a dictionary of chemistry — third edition,[],['DICCHE - A dictionary of Chemistry — Third edition'],['GEMET']
diclaw - a dictionary of law — fourth edition,[],['DICLAW - A Dictionary of Law — Fourth edition'],['GEMET']
dicots,"['Dicots are plants that are have two cotyledons in the seeds, distinguished by the structure of their pollen with three furrows, flowers in multiples of four or five, reticulated leaf veins, stem vascular bundles in a ring and roots that develop from a radicle.']",['EARTH SCIENCE -> BIOLOGICAL CLASSIFICATION -> PLANTS -> ANGIOSPERMS (FLOWERING PLANTS) -> DICOTS'],['GCMD']
dictionary,"['A reference book containing an explanatory alphabetical list of words, as a book listing a comprehensive or restricted selection of the words of a language; identifying usually, the phonetic, grammatical, and semantic value of each word, often with etymology, citations, and usage guidance and other information.']",['information -> documentation -> document -> document type -> dictionary'],['GEMET']
didactics,['The art or science of teaching.'],['education -> didactics'],['GEMET']
"diel, seasonal, and annual cycles",[],[],['AGU Index Terms']
diesel engine,['An internal combustion engine operating on a thermodynamic cycle in which the ratio of compression of the air charge is sufficiently high to ignite the fuel subsequently injected into the combustion chamber.'],['equipment -> engine -> combustion engine -> diesel engine'],['GEMET']
diesel fuel,['Heavy oil residue used as fuel for certain types of diesel engines.'],['product -> fuel -> heavy fuel oil -> diesel fuel | product -> fuel -> motor fuel -> diesel fuel | product -> fuel -> residual fuel oil -> diesel fuel'],['GEMET']
differential,['A measurement within a narrow range of energyand/or solid angle.'],['Differential'],['SPASE Dictionary']
differential absorption lidar,[],['DifferentialAbsorptionLidar -> differential absorption lidar'],['HELIO Ontology']
differential charging,"['The charging of different areas of a spacecraft or satellite to different potentials in response to sunlight, the charged particle environment, and the design and composition of the materials involved. Discharge may occur through arcing and generally is detrimental.']",['differential charging'],['Space Weather Glossary']
differential particle flux,"['The differential particle directional flux j(E,w) denotes the number of particles of energy E per unit energy interval, per unit area, per unit time, per unit solid angle of observation, passing through an area perpendicular to the viewing direction. The angle w is the angle between the viewing direction and the local magnetic field. It is approximately obtained from the count rate of a physical detector measuring the flux of particles between energy E and E + dE, geometric factor G, and solid angle of view dW through the relationship j(E,w) = C/(G x dE x dW x dt) where C is the number of detector counts in time dt.']",['differential particle flux'],['Space Weather Glossary']
differential pressure,['The difference between static air pressure and the total air pressureproduced by forward motion of an aircraft.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC PRESSURE -> DIFFERENTIAL PRESSURE'],['GCMD']
differential rotation,"['different rotation speeds at different solar latitudes, faster at lower latitudes and slower near the poles', 'The change in solar rotation rate with latitude. Low latitudes rotate at a faster angular rate (approximately 14° per day) than do high latitudes (approximately12° per day)']",['differential rotation'],"['NASA CCMC', 'Space Weather Glossary']"
differentiation,['The development of cells so that they are capable of performing specialized functions in the organs and tissues of the organisms to which they belong.'],['biosphere -> biological process -> differentiation'],['GEMET']
diffuse aurora,"['Diffuse auroral emissions occur when plasma sheet particles are scattered from the loss cone and precipitate into the auroral zone without additional acceleration along geomagnetic field lines. Diffuse auroral precipitation, which is usually sub-visual, is a continuous process that expands equatorward when geomagnetic activity increases.']",['diffuse aurora'],['NASA CCMC']
diffuse pollution,"['Pollution from widespread activities with no one discrete source, e.g. acid rain, pesticides, urban run-off etc.']",['pollution -> pollution type -> diffuse pollution'],['GEMET']
diffuse source,['Pollution which arises from various activities with no discrete source.'],['pollution -> source of pollution -> diffuse source'],['GEMET']
diffusion,"['The spontaneous movement and scattering of particles (atoms and molecules), of liquid, gases, and solids.', 'Refers to the net movement of salt from a region in the ocean of higher concentration to a region of lower concentration. Diffusion is driven by a gradient in concentration.', 'In the oceans, a mixing process through which a component of seawater (e.g. salt) is transferred from a zone of higher concentration to a zone of lesser concentration.', 'In the oceans, a mixing process through which a component of seawater(e.g. salt) is transferred from a zone of higher concentration to a zoneof lesser concentration.']","['physical process -> diffusion', 'EARTH SCIENCE -> OCEANS -> SALINITY/DENSITY -> OCEAN SALINITY -> OCEAN SALINITY BUDGET -> DIFFUSION', 'EARTH SCIENCE -> CRYOSPHERE -> SNOW/ICE -> SNOW VOLUME BUDGET -> DIFFUSION', 'EARTH SCIENCE -> OCEANS -> OCEAN HEAT BUDGET -> DIFFUSION', 'EARTH SCIENCE -> CRYOSPHERE -> SEA ICE -> SEA ICE VOLUME BUDGET -> DIFFUSION', 'EARTH SCIENCE -> OCEANS -> OCEAN VOLUME BUDGET -> DIFFUSION', 'EARTH SCIENCE -> OCEANS -> OCEAN CIRCULATION -> DIFFUSION']","['GEMET', 'GCMD']"
difid - dizionario di ecologia,[],['DIFID - Dizionario di Ecologia'],['GEMET']
digested sludge,['Sludge or thickened mixture of sewage solids with water that has been decomposed by anaerobic bacteria.'],['waste -> type of waste -> sewage sludge -> digested sludge'],['GEMET']
digester,['Machine which takes refuse and produces gas such as methane from it.'],['equipment -> purification facility -> digester'],['GEMET']
digestion (sewage),['The reduction in volume and the decomposition of highly putrescible organic matter to relatively stable or inert organic and inorganic compounds. Sludge digestion is usually done by aerobic organisms in the absence of free oxygen.'],['overburden -> waste treatment -> digestion (sewage)'],['GEMET']
digital elevation/digital terrain models,"['Models that represent continuous elevation values over a topographic surface bya regular array of z-values, referenced to a common datum. Digital ElevationModels (DEM) and Digital Terrain Models (DTM) are used to predict thetopography and terrain over a given land surface.']",['EARTH SCIENCE SERVICES -> MODELS -> DIGITAL ELEVATION/DIGITAL TERRAIN MODELS'],['GCMD']
digital elevation/terrain model (dem),"[""A digital model or 3D representation of a terrain's surface created from terrain elevation data.""]",['EARTH SCIENCE -> LAND SURFACE -> TOPOGRAPHY -> TERRAIN ELEVATION -> DIGITAL ELEVATION/TERRAIN MODEL (DEM)'],['GCMD']
digital image processing technique,"['Techniques employed in the calibration of image data, the correction or reduction of errors occurring during capture or transmission of the data and in various types of image enhancement-operations which increase the ability of the analyst to recognize features of interest.']",['evaluation -> data processing -> image processing -> digital image processing technique'],['GEMET']
digital land model,"[""A representation of a surface's topography stored in a numerical format. Each pixel has been assigned coordinates and an altitude.""]",['experiment -> simulation -> modelling -> model -> digital land model'],['GEMET']
digital surface model (dsm),['Digital Surface Model (DSM): A topographic digital model capturing both the natural and artificial features of the surface'],['EARTH SCIENCE -> LAND SURFACE -> TOPOGRAPHY -> TERRAIN ELEVATION -> Digital Surface Model (DSM)'],['GCMD']
digital/virtual reference desks,['Digital reference services use the Internet to connect people with peoplewho can answer questions and support the development of skills.'],['EARTH SCIENCE SERVICES -> REFERENCE AND INFORMATION SERVICES -> DIGITAL/VIRTUAL REFERENCE DESKS'],['GCMD']
digitising,"[""The process of converting data to a form used in computers, transmitted or stored with digital technology and expressed as a string of 0's and 1's.""]",['information -> informatics -> digitising | science -> informatics -> digitising'],['GEMET']
diluted acid,['A less concentrated acid.'],['chemical -> acid -> diluted acid'],['GEMET']
dimension measurement services,['Services that compute dimensions of objects visible in an image or other geospatial data.'],['EARTH SCIENCE SERVICES -> WEB SERVICES -> DATA PROCESSING SERVICES -> DIMENSION MEASUREMENT SERVICES'],['GCMD']
dimethyl sulfide,"['Dimethyl sulfide (DMS) is released by bacteria on the continents and in the oceans. Oxidized in the marine atmosphere to partially form cloud condensation nuclei and this may effect the formation of clouds over the oceans. [Nature; v326, 655, 1987.] [Nature; v237, 452, 1972.]']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> SULFUR COMPOUNDS -> DIMETHYL SULFIDE'],['GCMD']
dinitrogen pentoxide,['Dinitrogen pentoxide (N2O5) is formed from the reaction of the nitrate radicalwith nitrogen dioxide. Higher in the atmosphere N2O5 is an effective reservoirfor active nitrogen.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> NITROGEN COMPOUNDS -> DINITROGEN PENTOXIDE'],['GCMD']
dinoflagellates,"[""Dinoflagellates are protists with two flagella, a traverse flagellum typically contained in the cingulum used for motion and a longitudinal flagellum that acts as a rudder. Dinoflagellates are most common in freshwater and can be harmful as 'red tides'.""]","['EARTH SCIENCE -> BIOLOGICAL CLASSIFICATION -> PLANTS -> MICROALGAE -> DINOFLAGELLATES', 'EARTH SCIENCE -> BIOLOGICAL CLASSIFICATION -> PROTISTS -> FLAGELLATES -> DINOFLAGELLATES']",['GCMD']
dione,['The forth-largest moon of Saturn.'],['Dione'],['SPASE Dictionary']
dioxin,"['A by-product formed during the preparation of the herbicide 2, 4, 5-T, and sometimes produced by the incineration of chlorinated organic compounds. It may also occur naturally and is distributed widely in the environment, except locally in extremely low concentrations. Substantial amounts were released by the industrial accident of Seveso in 1976.']",['chemical -> organic substance -> heterocyclic compound -> dioxin | chemical -> organic substance -> organooxygen compound -> dioxin'],['GEMET']
dip,['The geomagnetic inclination angle. See geomagnetic elements.'],['dip'],['Space Weather Glossary']
dip equator,"['An irregular, imaginary line around the Earth where the geomagnetic inclination angle is measured to be zero. It lies near the geographic equator.']",['dip equator'],['Space Weather Glossary']
dipole meridian coodrindate system,"['As with the solar magnetic system, the Z-axis of the dipolde meridian system (DM) is chosen alogn the north magnetic dipole axis. However, the Y-axis is directed outwards from the dipole. This is a local coordinate system, in that it varies with position, however, since the X-Z plane contains the dipole magnetic field it si quite useful Uses It si used to order data controlled by the dipole magnetic fiedl where the influence of the solar wind interaction with the magnetospere is weak. It has been used extensively to descripbe the distortions of the magnetospheric field in terms of the two angels declination and inclination whcih can be easily derived from measurements in this system.']",['DipoleMeridianCoodrindateSystem -> dipole meridian coodrindate system'],['HELIO Ontology']
dipteran,[],['biosphere -> organism -> animal -> invertebrate -> Articulata -> arthropod -> insect -> dipteran'],['GEMET']
diramb - diritto dell’ambiente — ecologia ed educazione ambientale iii edizione,[],['DIRAMB - Diritto dell’ambiente — ecologia ed educazione ambientale III edizione'],['GEMET']
direct discharger,"['Factories and industrial concerns which do not discharge their sewage directly into public sewers, but directly into a waterway.']",['equipment -> industrial equipment -> direct discharger'],['GEMET']
direct greenhouse gas emissions,['Emissions from sources that are owned or controlled by the reporting entity'],['management -> policy instrument -> allowance -> emission allowance -> greenhouse gas emissions -> direct greenhouse gas emissions | pollution -> emission -> atmospheric emission -> emission inventory -> greenhouse gas emissions -> direct greenhouse gas emissions | pollution -> emission -> atmospheric emission -> greenhouse gas emissions -> direct greenhouse gas emissions | pollution -> emission -> emission inventory -> greenhouse gas emissions -> direct greenhouse gas emissions | pollution -> emission -> greenhouse gas emissions -> direct greenhouse gas emissions | pollution -> emission -> pollutant emission -> direct greenhouse gas emissions | waste -> type of waste -> waste gas -> greenhouse gas -> anthropogenic greenhouse gas -> greenhouse gas emissions -> direct greenhouse gas emissions'],['GEMET']
direction,"['The spatial relation between an object andanother object, the orientation of the object or the course along which theobject points or moves.']",['Direction'],['SPASE Dictionary']
direction angle,['The angle between a position vector ormeasured vector (or one of its projections onto a plane) and one of the baseaxes of the coordinate system.'],['DirectionAngle -> direction angle'],"['HELIO Ontology', 'SPASE Dictionary']"
direction cosine,['The cosine of the angle between two vectorsusually between a vector and one of the basis axes defining a Cartesiancoordinate system. Three angles and thus three direction cosines arerequired to define a vector direction in a three dimensional Euclideanspace.'],['DirectionCosine -> direction cosine'],['SPASE Dictionary']
directional,['A measurement within a narrow range of solidangle.'],['Directional'],['SPASE Dictionary']
directive,"['The second rank of administrative acts (inferior to regulations, superior to decisions) made by the council or commission of the European Communities on order to carry out their tasks in accordance with the Treaties. They must be addressed to states, not individuals, but many create rights for individuals or allow the directive to be pleaded before municipal court.']",['law (corpus of rules) -> directive'],['GEMET']
disabled person,"[""Person lacking one or more physical power, such as the ability to walk or to coordinate one's movements, as from the effects of a disease or accident, or through mental impairment.""]",['society -> social differentiation -> social group -> minority -> disabled person'],['GEMET']
disappearing solar filament,['A solar filament that disappears suddenly on a timescale of minutes to hours. The prominence material is often seen to ascend but can fall into the Sun or just fade. DSFs are probable indicators of coronal mass ejections.'],['disappearing solar filament'],['Space Weather Glossary']
disaster,"['The result of a vast ecological breakdown in the relations between man and his environment, a serious and sudden event (or slow, as in drought) on such a scale that the stricken community needs extraordinary efforts to cope with it, often with outside help or international aid.']",['disaster'],['GEMET']
disaster cleanup operation,"['A course or procedure of activity designed to clear the debris or remove harmful substances left by an ecological calamity, natural or human in origin, in a given area.']",['safety -> safety measure -> disaster relief -> disaster cleanup operation'],['GEMET']
disaster contingency plan,"['An anticipatory emergency plan to be followed in an expected or eventual disaster, based on risk assessment, availability of human and material resources, community preparedness, local and international response capability, etc.']",['safety -> safety measure -> disaster contingency plan'],['GEMET']
disaster control service,"['Work done or agency established to analyze, plan, assign and coordinate available resources in order to prepare for, respond to, mitigate and recover from damage caused by an ecological calamity, natural or human in origin.']",['safety -> safety measure -> disaster relief -> disaster control service'],['GEMET']
